binomial,phylum,class,order,family,genus,Common.name,panth_bodymass_g,panth_metrate_g,panth_maxLong_m,panth_Mat_d,aa_femMat_d,aa_maleMat_d,aa_maxLong_y,aa_maxLong_m,aa_metrate_w,aa_bodymass_g,AA_Data.quality,kup_AdultMass,kup_maxLong_m,AT_bodymass_g,AT_metrate,AT_brain_g,mean_long,State,species
Corydoras punctatus,Chordata,Teleostei,Siluriformes,Callichthyidae,Corydoras,South American catfish,NA,NA,NA,NA,NA,NA,8.8,105.6,NA,NA,acceptable,NA,105.6,NA,NA,NA,105.6,NA,Corydoras_punctatus
Corynorhinus rafinesquii,Chordata,Mammalia,Chiroptera,Vespertilionidae,Corynorhinus,Rafinesque's big-eared bat,9.15,NA,121.2,210.45,182,182,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,121.2,NOC,Corynorhinus_rafinesquii
Corynorhinus townsendii,Chordata,Mammalia,Chiroptera,Vespertilionidae,Corynorhinus,Townsend's big-eared bat,10.3,NA,254,NA,210,NA,20.5,246,NA,NA,acceptable,14.25,246,NA,NA,NA,250,NA,Corynorhinus_townsendii
Coryphaena equiselis,Chordata,Actinopterygii,Perciformes,Coryphaenidae,Coryphaena,Pompano dolphin,NA,NA,NA,NA,NA,NA,4,48,NA,NA,acceptable,NA,48,NA,NA,NA,48,NA,Coryphaena_equiselis
Coryphaena hippurus,Chordata,Actinopterygii,Perciformes,Coryphaenidae,Coryphaena,Common dolphinfish,NA,NA,NA,NA,197,197,4,48,NA,NA,acceptable,22000,48,NA,NA,NA,48,NA,Coryphaena_hippurus
Coryphaenoides acrolepis,Chordata,Teleostei,Gadiformes,Macrouridae,Coryphaenoides,Roughscale rattail,NA,NA,NA,NA,NA,NA,73,876,NA,NA,acceptable,NA,876,NA,NA,NA,876,NA,Coryphaenoides_acrolepis
Coryphaenoides rupestris,Chordata,Teleostei,Gadiformes,Macrouridae,Coryphaenoides,Rock grenadier,NA,NA,NA,NA,3650,NA,54,648,NA,NA,acceptable,929.5,648,NA,NA,NA,648,NA,Coryphaenoides_rupestris
Corytophanes cristatus,Chordata,Reptilia,Squamata,Corytophanidae,Corytophanes,Smooth helmeted iguana,NA,NA,NA,NA,NA,NA,7.1,85.2,NA,NA,acceptable,43.4,85.2,NA,NA,NA,85.2,DIU,Corytophanes_cristatus
Cottus aleuticus,Chordata,Teleostei,Scorpaeniformes,Cottidae,Cottus,Coastrange sculpin,NA,NA,NA,NA,NA,NA,8,96,NA,NA,acceptable,NA,96,NA,NA,NA,96,NA,Cottus_aleuticus
Cottus asper,Chordata,Teleostei,Scorpaeniformes,Cottidae,Cottus,Prickly sculpin,NA,NA,NA,NA,NA,NA,7,84,NA,NA,acceptable,NA,84,NA,NA,NA,84,NA,Cottus_asper
Cottus bairdii,Chordata,Teleostei,Scorpaeniformes,Cottidae,Cottus,Mottled sculpin,NA,NA,NA,NA,730,730,6,72,NA,NA,acceptable,NA,72,NA,NA,NA,72,NA,Cottus_bairdii
Cottus carolinae,Chordata,Teleostei,Scorpaeniformes,Cottidae,Cottus,Banded sculpin,NA,NA,NA,NA,730,730,4,48,NA,NA,acceptable,NA,48,NA,NA,NA,48,NA,Cottus_carolinae
Cottus cognatus,Chordata,Teleostei,Scorpaeniformes,Cottidae,Cottus,Slimy sculpin,NA,NA,NA,NA,NA,NA,7,84,NA,NA,acceptable,NA,84,NA,NA,NA,84,NA,Cottus_cognatus
Cottus confusus,Chordata,Teleostei,Scorpaeniformes,Cottidae,Cottus,Shorthead sculpin,NA,NA,NA,NA,NA,NA,6,72,NA,NA,acceptable,NA,72,NA,NA,NA,72,NA,Cottus_confusus
Cottus gobio,Chordata,Teleostei,Scorpaeniformes,Cottidae,Cottus,Bullhead,NA,NA,NA,NA,NA,NA,5,60,NA,NA,acceptable,NA,60,NA,NA,NA,60,NA,Cottus_gobio
Cottus paulus,Chordata,Teleostei,Scorpaeniformes,Cottidae,Cottus,Pygmy sculpin,NA,NA,NA,NA,NA,NA,2,24,NA,NA,acceptable,NA,24,NA,NA,NA,24,NA,Cottus_paulus
Cottus poecilopus,Chordata,Teleostei,Scorpaeniformes,Cottidae,Cottus,Alpine bullhead,NA,NA,NA,NA,NA,NA,8,96,NA,NA,acceptable,NA,96,NA,NA,NA,96,NA,Cottus_poecilopus
Coturnix chinensis,Chordata,Aves,Galliformes,Phasianidae,Coturnix,King quail,NA,NA,NA,NA,NA,NA,5,60,NA,NA,questionable,45,60,46.95,0.497230556,NA,60,NA,Coturnix_chinensis
Coturnix coturnix,Chordata,Aves,Galliformes,Phasianidae,Coturnix,Common quail,NA,NA,NA,NA,365,365,14.6,175.2,0.891,97,acceptable,96.5,175.2,NA,NA,NA,175.2,NA,Coturnix_coturnix
Coturnix japonica,Chordata,Aves,Galliformes,Phasianidae,Coturnix,Japanese quail,NA,NA,NA,NA,63,52,6,72,NA,NA,acceptable,115,72,115,0.977777778,NA,72,DIU,Coturnix_japonica
Coturnix pectoralis,Chordata,Aves,Galliformes,Phasianidae,Coturnix,Stubble quail,NA,NA,NA,NA,NA,NA,4.2,50.4,NA,NA,acceptable,NA,NA,100.4,NA,NA,50.4,NA,Coturnix_pectoralis
Coturnix ypsilophora,Chordata,Aves,Galliformes,Phasianidae,Coturnix,Brown quail,NA,NA,NA,NA,NA,NA,4,48,NA,NA,acceptable,NA,NA,NA,NA,NA,48,NA,Coturnix_ypsilophora
Couesius plumbeus,Chordata,Teleostei,Cypriniformes,Leuciscidae,Couesius,Lake chub,NA,NA,NA,NA,1095,NA,5,60,NA,NA,acceptable,NA,60,NA,NA,NA,60,NA,Couesius_plumbeus
Cracticus nigrogularis,Chordata,Aves,Passeriformes,Cracticidae,Cracticus,Pied butcherbird,NA,NA,NA,NA,NA,NA,22.2,266.4,NA,NA,acceptable,NA,NA,124.1,NA,3.12872,266.4,NA,Cracticus_nigrogularis
Cracticus torquatus,Chordata,Aves,Passeriformes,Cracticidae,Cracticus,Grey butcherbird,NA,NA,NA,NA,NA,NA,20.2,242.4,NA,NA,acceptable,NA,NA,92.2,NA,NA,242.4,NA,Cracticus_torquatus
Crassostrea ariakensis,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,Suminoe oyster,NA,NA,NA,NA,NA,NA,5,60,NA,NA,acceptable,NA,NA,NA,NA,NA,60,NA,Crassostrea_ariakensis
Crassostrea gigas,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,Pacific oyster,NA,NA,NA,NA,NA,NA,7,84,NA,NA,acceptable,NA,NA,NA,NA,NA,84,NA,Crassostrea_gigas
Crassostrea virginica,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,Eastern oyster,NA,NA,NA,NA,NA,NA,5,60,NA,NA,acceptable,NA,NA,NA,NA,NA,60,NA,Crassostrea_virginica
Crateromys heaneyi,Chordata,Mammalia,Rodentia,Muridae,Crateromys,Panay crateromys,NA,NA,NA,NA,NA,NA,8.8,105.6,NA,NA,acceptable,NA,105.6,NA,NA,NA,105.6,NA,Crateromys_heaneyi
Cratogeomys castanops,Chordata,Mammalia,Rodentia,Geomyidae,Cratogeomys,Yellow-faced pocket gopher,266.83,NA,56.4,NA,310,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,56.4,NA,Cratogeomys_castanops
Crax globulosa,Chordata,Aves,Galliformes,Cracidae,Crax,Wattled curassow,NA,NA,NA,NA,NA,NA,20,240,NA,NA,acceptable,2500,240,NA,NA,NA,240,NA,Crax_globulosa
Crax rubra,Chordata,Aves,Galliformes,Cracidae,Crax,Great curassow,NA,NA,NA,NA,NA,NA,24,288,NA,NA,acceptable,4133,288,NA,NA,NA,288,NA,Crax_rubra
Cricetomys emini,Chordata,Mammalia,Rodentia,Nesomyidae,Cricetomys,Giant rat,1280,NA,NA,NA,162,NA,7.4,88.8,NA,NA,acceptable,1300,88.8,NA,NA,NA,88.8,NOC,Cricetomys_emini
Cricetomys gambianus,Chordata,Mammalia,Rodentia,Nesomyidae,Cricetomys,Gambian rat,1267.52,1521.4,NA,177.08,158,NA,8.4,100.8,6.024,1686.7,acceptable,1500,100.8,1870.9,6.340272222,NA,100.8,NA,Cricetomys_gambianus
Cricetulus barabensis,Chordata,Mammalia,Rodentia,Cricetidae,Cricetulus,Striped dwarf hamster,NA,NA,NA,NA,NA,NA,5.3,63.6,NA,NA,acceptable,NA,63.6,NA,NA,NA,63.6,NA,Cricetulus_barabensis
Cricetus cricetus,Chordata,Mammalia,Rodentia,Cricetidae,Cricetus,Black-bellied hamster,428.95,362,48,86.48,43,56,3.6,43.2,1.251,365.3,acceptable,506.7,43.2,297,NA,2.2,45.6,NA,Cricetus_cricetus
Crocidura flavescens,Chordata,Mammalia,Soricomorpha,Soricidae,Crocidura,Greater red musk shrew,31.22,33.2,NA,NA,NA,NA,2.2,26.4,0.248,33.2,acceptable,45,26.4,NA,NA,NA,26.4,NA,Crocidura_flavescens
Crocidura leucodon,Chordata,Mammalia,Soricomorpha,Soricidae,Crocidura,Bicolored shrew,10.88,11.7,36,107.16,95,95,2.9,34.8,0.166,11.7,acceptable,11,34.8,NA,NA,NA,35.4,NA,Crocidura_leucodon
Crocidura russula,Chordata,Mammalia,Soricomorpha,Soricidae,Crocidura,White-toothed shrew,9.89,10.1,38.4,66.88,75,75,4,48,0.143,10.8,acceptable,11.6,48,11,NA,0.19,43.2,NA,Crocidura_russula
Crocidura suaveolens,Chordata,Mammalia,Soricomorpha,Soricidae,Crocidura,Lesser shrew,7.35,NA,32.4,68.97,175,365,2.8,33.6,0.112,6.9,acceptable,7.7,33.6,NA,NA,NA,33,NA,Crocidura_suaveolens
Crocodylus acutus,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,American crocodile,NA,NA,NA,NA,3652,NA,47,564,NA,NA,acceptable,76700,564,134000,NA,15.6,564,NOC,Crocodylus_acutus
Crocodylus intermedius,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,Orinoco crocodile,NA,NA,NA,NA,NA,NA,41,492,NA,NA,acceptable,107900,492,NA,NA,NA,492,NOC,Crocodylus_intermedius
Crocodylus johnstoni,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,Johnson's crocodile,NA,NA,NA,NA,NA,NA,55,660,NA,NA,questionable,19500,660,NA,NA,NA,660,NA,Crocodylus_johnstoni
Crocodylus moreletii,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,Morelet's crocodile,NA,NA,NA,NA,2557,2739,25.4,304.8,NA,NA,acceptable,38500,304.8,NA,NA,NA,304.8,NOC,Crocodylus_moreletii
Crocodylus niloticus,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,Nile crocodile,NA,NA,NA,NA,6940,NA,56,672,NA,NA,acceptable,94200,672,NA,NA,NA,672,NOC,Crocodylus_niloticus
Crocodylus novaeguineae,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,New Guinea crocodile,NA,NA,NA,NA,2191,3652,51,612,NA,NA,acceptable,39900,612,NA,NA,NA,612,NA,Crocodylus_novaeguineae
Crocodylus palustris,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,"Mugger, or Marsh crocodile",NA,NA,NA,NA,2313,3652,44,528,NA,NA,acceptable,42700,528,NA,NA,NA,528,NOC,Crocodylus_palustris
Crocodylus porosus,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,Saltwater crocodile,NA,NA,NA,NA,3652,5844,57,684,NA,NA,questionable,200000,684,NA,NA,NA,684,NOC,Crocodylus_porosus
Crocodylus rhombifer,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,Cuban crocodile,NA,NA,NA,NA,NA,NA,48,576,NA,NA,acceptable,57500,576,NA,NA,NA,576,NOC,Crocodylus_rhombifer
Crocodylus siamensis,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,Siamese crocodile,NA,NA,NA,NA,NA,NA,49,588,NA,NA,acceptable,42500,588,NA,NA,NA,588,NOC,Crocodylus_siamensis
Crocuta crocuta,Chordata,Mammalia,Carnivora,Hyaenidae,Crocuta,Spotted hyena,63369.98,NA,493.2,789.54,1095,639,41.1,493.2,NA,NA,acceptable,63000,493.2,62370,NA,175,493.2,NOC,Crocuta_crocuta
Crossarchus obscurus,Chordata,Mammalia,Carnivora,Herpestidae,Crossarchus,Long-nosed cusimanse,1395.09,NA,108,278.42,274,274,13.3,159.6,NA,NA,acceptable,790,159.6,NA,NA,NA,133.8,NA,Crossarchus_obscurus
Crotalus adamanteus,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Eastern diamondback rattlesnake,NA,NA,NA,NA,NA,NA,22.8,273.6,NA,NA,acceptable,NA,273.6,NA,NA,NA,273.6,NA,Crotalus_adamanteus
Crotalus atrox,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Western diamond-backed rattlesnake,NA,NA,NA,NA,1095,1095,27,324,NA,NA,acceptable,6700,324,NA,NA,NA,324,NA,Crotalus_atrox
Crotalus basiliscus,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Mexican West-Coast rattlesnake,NA,NA,NA,NA,NA,NA,16,192,NA,NA,acceptable,NA,192,NA,NA,NA,192,NA,Crotalus_basiliscus
Crotalus catalinensis,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Saint Catalina rattlesnake,NA,NA,NA,NA,NA,NA,11.8,141.6,NA,NA,acceptable,NA,141.6,NA,NA,NA,141.6,NA,Crotalus_catalinensis
Crotalus cerastes,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Sidewinder,NA,NA,NA,NA,NA,NA,27.3,327.6,NA,NA,acceptable,211,327.6,NA,NA,NA,327.6,NA,Crotalus_cerastes
Crotalus durissus,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Cascabel rattlesnake,NA,NA,NA,NA,1095,1095,19.8,237.6,NA,NA,acceptable,1150,237.6,NA,NA,NA,237.6,ARR,Crotalus_durissus
Crotalus enyo,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Lower california rattlesnake,NA,NA,NA,NA,NA,NA,17.1,205.2,NA,NA,acceptable,NA,205.2,NA,NA,NA,205.2,NA,Crotalus_enyo
Crotalus horridus,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Timber rattlesnake,NA,NA,NA,NA,2555,1825,30.2,362.4,NA,NA,acceptable,1000,362.4,NA,NA,NA,362.4,NA,Crotalus_horridus
Crotalus lepidus,Chordata,Reptilia,Squamata,Viperidae,Crotalus,"Rock rattlesnake, or New Mexico banded rock rattlesnake",NA,NA,NA,NA,NA,NA,33.6,403.2,NA,NA,acceptable,219,403.2,NA,NA,NA,403.2,NA,Crotalus_lepidus
Crotalus mitchelli,Chordata,Reptilia,Squamata,Viperidae,Crotalus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,888,264,NA,NA,NA,264,NA,Crotalus_mitchelli
Crotalus mitchellii,Chordata,Reptilia,Squamata,Viperidae,Crotalus,"Speckled rattlesnake, or Southwestern speckled rattlesnake",NA,NA,NA,NA,NA,NA,22,264,NA,NA,acceptable,NA,NA,NA,NA,NA,264,NA,Crotalus_mitchellii
Crotalus molossus,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Northern black-tailed rattlesnake,NA,NA,NA,NA,NA,NA,20.7,248.4,NA,NA,acceptable,771,248.4,NA,NA,NA,248.4,NA,Crotalus_molossus
Crotalus pricei,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Twin-spotted rattlesnake,NA,NA,NA,NA,NA,NA,15.7,188.4,NA,NA,acceptable,104,188.4,NA,NA,NA,188.4,NA,Crotalus_pricei
Crotalus ruber,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Red diamond rattlesnake,NA,NA,NA,NA,NA,NA,19.2,230.4,NA,NA,acceptable,3661,230.4,NA,NA,NA,230.4,NA,Crotalus_ruber
Crotalus scutulatus,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Mojave rattlesnake,NA,NA,NA,NA,NA,NA,14.4,172.8,NA,NA,acceptable,828,172.8,NA,NA,NA,172.8,NA,Crotalus_scutulatus
Crotalus tigris,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Tiger rattlesnake,NA,NA,NA,NA,NA,NA,15.3,183.6,NA,NA,acceptable,279,183.6,NA,NA,NA,183.6,NA,Crotalus_tigris
Crotalus tortugensis,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Tortuga Island rattlesnake,NA,NA,NA,NA,NA,NA,18.3,219.6,NA,NA,acceptable,NA,219.6,NA,NA,NA,219.6,NA,Crotalus_tortugensis
Crotalus vegrandis,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Uracoan rattlesnake,NA,NA,NA,NA,NA,NA,19.8,237.6,NA,NA,acceptable,NA,237.6,NA,NA,NA,237.6,NA,Crotalus_vegrandis
Crotalus viridis,Chordata,Reptilia,Squamata,Viperidae,Crotalus,"Prairie rattlesnake, or Southern Pacific rattlesnake",NA,NA,NA,NA,NA,NA,24.1,289.2,NA,NA,acceptable,1647,289.2,NA,NA,NA,289.2,NA,Crotalus_viridis
Crotalus willardi,Chordata,Reptilia,Squamata,Viperidae,Crotalus,"Ridge-nosed rattlesnake, or Arizona ridge-nosed rattlesnake",NA,NA,NA,NA,NA,NA,21.3,255.6,NA,NA,acceptable,100,255.6,NA,NA,NA,255.6,NA,Crotalus_willardi
Cryptobranchus alleganiensis,Chordata,Amphibia,Caudata,Cryptobranchidae,Cryptobranchus,Hellbender,NA,NA,NA,NA,1825,1825,29,348,0.0253,358,acceptable,358.1,348,NA,NA,NA,348,NOC,Cryptobranchus_alleganiensis
Cryptomys anselli,Chordata,Mammalia,Rodentia,Bathyergidae,Cryptomys,Ansell's mole-rat,85.59,NA,NA,NA,365,365,20.6,247.2,NA,NA,acceptable,90,247.2,NA,NA,NA,247.2,NA,Cryptomys_anselli
Cryptomys damarensis,Chordata,Mammalia,Rodentia,Bathyergidae,Cryptomys,Damaraland mole-rat,112.2,128,NA,NA,511,NA,15.5,186,0.418,131.3,acceptable,180,186,NA,NA,NA,186,NA,Cryptomys_damarensis
Cryptomys hottentotus,Chordata,Mammalia,Rodentia,Bathyergidae,Cryptomys,African mole rat,75.13,95,NA,472.6,450,NA,11,132,0.35,78.9,questionable,132.5,132,NA,NA,NA,132,DIU,Cryptomys_hottentotus
Cryptomys mechowi,Chordata,Mammalia,Rodentia,Bathyergidae,Cryptomys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,192,NA,NA,NA,192,NA,Cryptomys_mechowi
Cryptomys mechowii,Chordata,Mammalia,Rodentia,Bathyergidae,Cryptomys,Giant mole-rat,NA,NA,NA,NA,NA,NA,20,240,NA,NA,questionable,NA,NA,NA,NA,NA,240,NA,Cryptomys_mechowii
Cryptoprocta ferox,Chordata,Mammalia,Carnivora,Eupleridae,Cryptoprocta,Fossa,9500,NA,240,1262.74,1496,NA,23.1,277.2,NA,NA,acceptable,9500,277.2,9500,NA,36.78,258.6,NA,Cryptoprocta_ferox
Cryptotis parva,Chordata,Mammalia,Soricomorpha,Soricidae,Cryptotis,Least shrew,4.97,6.38,21,35.44,40,43,3.5,42,0.164,6.3,acceptable,4.5,42,NA,NA,NA,31.5,NA,Cryptotis_parva
Crystallaria asprella,Chordata,Actinopterygii,Perciformes,Percidae,Crystallaria,Crystal darter,NA,NA,NA,NA,NA,NA,3,36,NA,NA,acceptable,NA,36,NA,NA,NA,36,NA,Crystallaria_asprella
Crystallogobius linearis,Chordata,Actinopterygii,Perciformes,Gobiidae,Crystallogobius,Crystal goby,NA,NA,NA,NA,365,365,1,12,NA,NA,acceptable,NA,12,NA,NA,NA,12,NA,Crystallogobius_linearis
Ctenodactylus gundi,Chordata,Mammalia,Rodentia,Ctenodactylidae,Ctenodactylus,Gundi,288.41,NA,NA,169.03,319,NA,5.8,69.6,NA,NA,acceptable,288.8,69.6,NA,NA,NA,69.6,DIU,Ctenodactylus_gundi
Ctenodactylus vali,Chordata,Mammalia,Rodentia,Ctenodactylidae,Ctenodactylus,NA,173.6,NA,60,340.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,Ctenodactylus_vali
Ctenolabrus rupestris,Chordata,Actinopterygii,Perciformes,Labridae,Ctenolabrus,Goldsinny wrasse,NA,NA,NA,NA,NA,NA,8,96,NA,NA,acceptable,NA,96,NA,NA,NA,96,NA,Ctenolabrus_rupestris
Ctenomys talarum,Chordata,Mammalia,Rodentia,Ctenomyidae,Ctenomys,"Talas tuco-tuco, or Tuco-tuco",140.84,NA,36,213.2,243,243,NA,NA,0.611,121,low,NA,NA,NA,NA,NA,36,NA,Ctenomys_talarum
Ctenopharyngodon idella,Chordata,Teleostei,Cypriniformes,Cyprinidae,Ctenopharyngodon,Silver orfe,NA,NA,NA,NA,1520,1460,21,252,NA,NA,acceptable,24750,252,NA,NA,NA,252,NA,Ctenopharyngodon_idella
Ctenopoma kingsleyae,Chordata,Actinopterygii,Perciformes,Anabantidae,Ctenopoma,Miss Kingsley's climbing perch,NA,NA,NA,NA,NA,NA,8.7,104.4,NA,NA,acceptable,68.75,104.4,NA,NA,NA,104.4,NA,Ctenopoma_kingsleyae
Ctenosaura bakeri,Chordata,Reptilia,Squamata,Iguanidae,Ctenosaura,Baker's spinytail iguana,NA,NA,NA,NA,NA,NA,13.8,165.6,NA,NA,acceptable,399.4,165.6,NA,NA,NA,165.6,NA,Ctenosaura_bakeri
Ctenosaura hemilopha,Chordata,Reptilia,Squamata,Iguanidae,Ctenosaura,Cape spinytail iguana,NA,NA,NA,NA,NA,NA,9.6,115.2,NA,NA,acceptable,2800,115.2,NA,NA,NA,115.2,NA,Ctenosaura_hemilopha
Ctenosaura palearis,Chordata,Reptilia,Squamata,Iguanidae,Ctenosaura,"Motagua spiny-tailed iguana, or Honduran dwarf spiny-tailed iguana",NA,NA,NA,NA,NA,NA,10.2,122.4,NA,NA,acceptable,NA,122.4,NA,NA,NA,122.4,NA,Ctenosaura_palearis
Ctenosaura pectinata,Chordata,Reptilia,Squamata,Iguanidae,Ctenosaura,Western spiny-tailed iguana,NA,NA,NA,NA,NA,NA,8.2,98.4,NA,NA,acceptable,968,98.4,NA,NA,NA,98.4,NA,Ctenosaura_pectinata
Ctenosaura similis,Chordata,Reptilia,Squamata,Iguanidae,Ctenosaura,Black iguana,NA,NA,NA,NA,NA,NA,22.4,268.8,NA,NA,acceptable,1034,268.8,NA,NA,NA,268.8,NA,Ctenosaura_similis
Cuculus canorus,Chordata,Aves,Cuculiformes,Cuculidae,Cuculus,"Common cuckoo, or Eurasian cuckoo",NA,NA,NA,NA,365,365,12.9,154.8,0.838,111.6,acceptable,111.5,154.8,128,1.255555556,NA,154.8,DIU,Cuculus_canorus
Culaea inconstans,Chordata,Teleostei,Gasterosteiformes,Gasterosteidae,Culaea,Brook stickleback,NA,NA,NA,NA,NA,NA,2,24,NA,NA,acceptable,NA,24,NA,NA,NA,24,NA,Culaea_inconstans
Cuniculus paca,Chordata,Mammalia,Rodentia,Cuniculidae,Cuniculus,Lowland paca,8172.55,9156,192,335.48,365,365,16.3,195.6,15.323,9156,acceptable,9000,195.6,5635,NA,35.8,193.8,NOC,Cuniculus_paca
Cuniculus taczanowskii,Chordata,Mammalia,Rodentia,Cuniculidae,Cuniculus,Mountain paca,8999.95,NA,NA,NA,342,365,18.9,226.8,NA,NA,acceptable,8999.9,226.8,NA,NA,NA,226.8,NA,Cuniculus_taczanowskii
Cuon alpinus,Chordata,Mammalia,Carnivora,Canidae,Cuon,Dhole,15800,NA,192,374.18,365,365,16.1,193.2,NA,NA,acceptable,15750,193.2,NA,NA,NA,192.6,NA,Cuon_alpinus
Cuora amboinensis,Chordata,Reptilia,Testudines,Geoemydidae,Cuora,Southeast Asian box turtle,NA,NA,NA,NA,NA,NA,38.2,458.4,NA,NA,acceptable,1000,458.4,NA,NA,NA,458.4,NA,Cuora_amboinensis
Cuora flavomarginata,Chordata,Reptilia,Testudines,Geoemydidae,Cuora,Yellow-margined box turtle,NA,NA,NA,NA,NA,NA,19.1,229.2,NA,NA,acceptable,499,229.2,NA,NA,NA,229.2,NA,Cuora_flavomarginata
Cuora trifasciata,Chordata,Reptilia,Testudines,Geoemydidae,Cuora,Chinese three-striped box turtle,NA,NA,NA,NA,NA,NA,31.8,381.6,NA,NA,acceptable,NA,381.6,NA,NA,NA,381.6,DIU,Cuora_trifasciata
Cyanerpes caeruleus,Chordata,Aves,Passeriformes,Thraupidae,Cyanerpes,Purple honeycreeper,NA,NA,NA,NA,NA,NA,17,204,NA,NA,acceptable,12,204,NA,NA,NA,204,NA,Cyanerpes_caeruleus
Cyanistes caeruleus,Chordata,Aves,Passeriformes,Paridae,Cyanistes,Blue tit,NA,NA,NA,NA,365,365,14.6,175.2,NA,NA,acceptable,10.3,175.2,NA,NA,NA,175.2,NA,Cyanistes_caeruleus
Cyanocitta cristata,Chordata,Aves,Passeriformes,Corvidae,Cyanocitta,Blue jay,NA,NA,NA,NA,365,365,26.2,314.4,NA,NA,acceptable,80.8,314.4,NA,NA,NA,314.4,DIU,Cyanocitta_cristata
Cyanocitta stelleri,Chordata,Aves,Passeriformes,Corvidae,Cyanocitta,Steller's jay,NA,NA,NA,NA,365,365,16.1,193.2,NA,NA,acceptable,99.1,193.2,130,NA,3.4,193.2,NA,Cyanocitta_stelleri
Cyanocompsa parellina,Chordata,Aves,Passeriformes,Cardinalidae,Cyanocompsa,Blue bunting,NA,NA,NA,NA,NA,NA,10.8,129.6,NA,NA,acceptable,15.7,129.6,NA,NA,NA,129.6,NA,Cyanocompsa_parellina
Cyanocorax caeruleus,Chordata,Aves,Passeriformes,Corvidae,Cyanocorax,Azure jay,NA,NA,NA,NA,NA,NA,36,432,NA,NA,acceptable,272,432,270,NA,3.7,432,NA,Cyanocorax_caeruleus
Cyanoliseus patagonus,Chordata,Aves,Psittaciformes,Psittacidae,Cyanoliseus,Patagonian conure,NA,NA,NA,NA,NA,NA,19.5,234,NA,NA,acceptable,278,234,NA,NA,NA,234,NA,Cyanoliseus_patagonus
Cyanopsitta spixii,Chordata,Aves,Psittaciformes,Psittacidae,Cyanopsitta,Spix's macaw,NA,NA,NA,NA,NA,NA,27,324,NA,NA,acceptable,200,324,NA,NA,NA,324,NA,Cyanopsitta_spixii
Cyanoramphus auriceps,Chordata,Aves,Psittaciformes,Psittacidae,Cyanoramphus,Yellow-fronted parakeet,NA,NA,NA,NA,NA,NA,9.3,111.6,NA,NA,acceptable,46,111.6,NA,NA,NA,111.6,NA,Cyanoramphus_auriceps
Cyanoramphus novaezelandiae,Chordata,Aves,Psittaciformes,Psittacidae,Cyanoramphus,Red-fronted parakeet,NA,NA,NA,NA,NA,NA,12.4,148.8,NA,NA,acceptable,92.6,148.8,NA,NA,NA,148.8,NA,Cyanoramphus_novaezelandiae
Cyclemys dentata,Chordata,Reptilia,Testudines,Geoemydidae,Cyclemys,Asian leaf turtle,NA,NA,NA,NA,NA,NA,14.7,176.4,NA,NA,acceptable,1250,176.4,NA,NA,NA,176.4,NA,Cyclemys_dentata
Cycleptus elongatus,Chordata,Teleostei,Cypriniformes,Catostomidae,Cycleptus,Blue sucker,NA,NA,NA,NA,NA,NA,13,156,NA,NA,acceptable,8560,156,NA,NA,NA,156,NA,Cycleptus_elongatus
Cycleptus meridionalis,Chordata,Teleostei,Cypriniformes,Catostomidae,Cycleptus,Southeastern blue sucker,NA,NA,NA,NA,NA,NA,33,396,NA,NA,acceptable,NA,396,NA,NA,NA,396,NA,Cycleptus_meridionalis
