binomial,phylum,class,order,family,genus,Common.name,panth_bodymass_g,panth_metrate_g,panth_maxLong_m,panth_Mat_d,aa_femMat_d,aa_maleMat_d,aa_maxLong_y,aa_maxLong_m,aa_metrate_w,aa_bodymass_g,AA_Data.quality,kup_AdultMass,kup_maxLong_m,AT_bodymass_g,AT_metrate,AT_brain_g,mean_long,State,species
Potamochoerus porcus,Chordata,Mammalia,Artiodactyla,Suidae,Potamochoerus,Red river hog,70000.31,NA,240,1113.7,1096,1096,22,264,NA,NA,high,88000,264,NA,NA,NA,252,NA,Potamochoerus_porcus
Potorous longipes,Chordata,Mammalia,Diprotodontia,Potoroidae,Potorous,Long-footed potoroo,1835.06,NA,120,855.56,755,NA,15.3,183.6,NA,NA,acceptable,1650,183.6,NA,NA,NA,151.8,NA,Potorous_longipes
Potorous tridactylus,Chordata,Mammalia,Diprotodontia,Potoroidae,Potorous,Long-nosed potoroo,1054.67,1077.5,144,413.84,400,NA,14.5,174,2.556,1045.5,acceptable,1430,174,1283,NA,9.87308,159,NA,Potorous_tridactylus
Potos flavus,Chordata,Mammalia,Carnivora,Procyonidae,Potos,Kinkajou,2441.81,2157.5,348,858.41,820,550,38.4,460.8,4.294,2318,acceptable,3000,460.8,2620,NA,31.05,404.4,NA,Potos_flavus
Praomys tullbergi,Chordata,Mammalia,Rodentia,Muridae,Praomys,"Tullberg's praomys, or Tullberg's rock rat",37.1,NA,62.4,57.07,82,75,5.2,62.4,NA,NA,acceptable,30,62.4,NA,NA,NA,62.4,NA,Praomys_tullbergi
Presbytis melalophos,Chordata,Mammalia,Primates,Cercopithecidae,Presbytis,"Black-crested sumatran langur, or Mitred leaf monkey",6439.12,NA,192,NA,NA,NA,20,240,NA,NA,acceptable,6540,240,NA,NA,NA,216,NA,Presbytis_melalophos
Primolius maracana,Chordata,Aves,Psittaciformes,Psittacidae,Primolius,Blue-winged macaw,NA,NA,NA,NA,NA,NA,31,372,NA,NA,acceptable,256,372,NA,NA,NA,372,NA,Primolius_maracana
Priodontes maximus,Chordata,Mammalia,Cingulata,Dasypodidae,Priodontes,Giant armadillo,40641.89,45190,180,327.59,320,320,15,180,16.892,45190,acceptable,33000,180,NA,NA,NA,180,NA,Priodontes_maximus
Prionace glauca,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Prionace,Blue shark,NA,NA,NA,NA,2190,NA,20,240,NA,NA,acceptable,113245,240,NA,NA,NA,240,NA,Prionace_glauca
Prionailurus bengalensis,Chordata,Mammalia,Carnivora,Felidae,Prionailurus,Leopard cat,2780.97,NA,180,855.31,365,NA,17,204,NA,NA,acceptable,5000,204,NA,NA,NA,192,NA,Prionailurus_bengalensis
Prionailurus planiceps,Chordata,Mammalia,Carnivora,Felidae,Prionailurus,Flat-headed cat,3533.76,NA,NA,NA,NA,NA,14,168,NA,NA,acceptable,6750,168,NA,NA,NA,168,NA,Prionailurus_planiceps
Prionailurus rubiginosus,Chordata,Mammalia,Carnivora,Felidae,Prionailurus,Rusty-spotted cat,1418.75,NA,NA,NA,NA,NA,17.9,214.8,NA,NA,acceptable,1350,214.8,NA,NA,NA,214.8,NA,Prionailurus_rubiginosus
Prionailurus viverrinus,Chordata,Mammalia,Carnivora,Felidae,Prionailurus,Fishing cat,8826.46,NA,120,NA,NA,NA,17.2,206.4,NA,NA,acceptable,10650,206.4,NA,NA,NA,163.2,NA,Prionailurus_viverrinus
Prionodon linsang,Chordata,Mammalia,Carnivora,Viverridae,Prionodon,Banded linsang,684.83,NA,128.4,NA,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,128.4,NA,Prionodon_linsang
Pristipomoides filamentosus,Chordata,Actinopterygii,Perciformes,Lutjanidae,Pristipomoides,Crimson jobfish,NA,NA,NA,NA,NA,NA,18,216,NA,NA,acceptable,4484.7,216,NA,NA,NA,216,NA,Pristipomoides_filamentosus
