species logage
Glossophaga_soricina 4.836282
Leptonycteris_yerbabuenae 4.787492
Leptonycteris_curasoae 4.797442
Artibeus_jamaicensis 5.165928
Platyrrhinus_lineatus 4.935912
Sturnira_lilium 4.969813
Carollia_perspicillata 5.172754
Phyllostomus_hastatus 5.123964
Phyllostomus_discolor 4.682131
Vampyrum_spectrum 4.356709
Macrotus_waterhousii 4.827513
Macrotus_californicus 5.102302
Saccopteryx_bilineata 4.276666
Taphozous_georgianus 3.988984
Taphozous_hilli 4.659658
Natalus_stramineus 4.059753
Molossus_molossus 4.207673
Tadarida_brasiliensis 5.087596
Tadarida_teniotis 5.049856
Chaerephon_pumilus 4.094345
Scotorepens_balstoni 4.757033
Scotorepens_orion 4.891852
Miniopterus_schreibersii 5.375278
Nycticeius_humeralis 4.189655
Plecotus_austriacus 5.493061
Idionycteris_phyllotis 3.637586
Plecotus_auritus 5.886104
Corynorhinus_rafinesquii 4.797442
Corynorhinus_townsendii 5.521461
Barbastella_barbastellus 5.575949
Antrozous_pallidus 4.965638
Lasiurus_cinereus 4.570579
Pipistrellus_subflavus 5.192957
Pipistrellus_kuhlii 4.564348
Pipistrellus_pipistrellus 5.297317
Nyctalus_noctula 4.969813
Nyctalus_leisleri 5.257495
Pipistrellus_nathusii 4.736198
Vespertilio_murinus 5.068904
Chalinolobus_gouldii 4.539030
Chalinolobus_morio 4.746670
Vespadelus_darlingtoni 4.564348
Vespadelus_pumilus 4.094345
Vespadelus_vulturnus 4.693181
Vespadelus_regulus 4.564348
Nyctophilus_geoffroyi 4.472781
Nyctophilus_gouldi 3.871201
Falsistrellus_tasmaniensis 4.276666
Lasionycteris_noctivagans 4.969813
Eptesicus_serotinus 5.087596
Eptesicus_nilssonii 5.361292
Eptesicus_fuscus 5.455321
Myotis_dasycneme 5.480639
Myotis_nattereri 5.447599
Myotis_myotis 5.870990
Myotis_blythii 5.758886
Myotis_bechsteinii 5.529429
Myotis_daubentonii 5.817111
Myotis_adversus 4.564348
Myotis_emarginatus 5.497988
Myotis_mystacinus 5.662960
Myotis_yumanensis 4.919835
Myotis_velifer 4.911036
Myotis_grisescens 5.812996
Myotis_austroriparius 4.276666
Myotis_vivesi 4.787492
Myotis_nigricans 4.430817
Myotis_brandtii 6.198479
Myotis_sodalis 5.480639
Myotis_volans 5.020586
Myotis_auriculus 3.637586
Myotis_leibii 4.969813
Myotis_californicus 5.192957
Myotis_thysanodes 5.391808
Myotis_keenii 5.416100
Myotis_evotis 5.575949
Myotis_lucifugus 6.011267
Manis_crassicaudata 5.087596
Vulpes_pallida 5.049856
Vulpes_bengalensis 4.787492
Vulpes_macrotis 5.369707
Urocyon_littoralis 4.564348
Urocyon_cinereoargenteus 5.232178
Vulpes_lagopus 5.235378
Vulpes_velox 5.372497
Vulpes_vulpes 5.383577
Vulpes_rueppellii 5.145166
Vulpes_corsac 5.049856
Vulpes_zerda 5.221976
Vulpes_cana 4.787492
Vulpes_chama 4.787492
Otocyon_megalotis 5.219274
Nyctereutes_procyonoides 5.212759
Lycaon_pictus 5.123964
Chrysocyon_brachyurus 5.251226
Canis_mesomelas 5.216022
Canis_latrans 5.567581
Canis_aureus 5.341377
Canis_lupus 5.705780
Cuon_alpinus 5.260615
Canis_adustus 5.015291
Speothos_venaticus 4.987708
Cerdocyon_thous 4.978112
Atelocynus_microtis 4.922896
Monachus_monachus 5.650382
Mirounga_leonina 5.620401
Mirounga_angustirostris 5.495117
Lobodon_carcinophaga 6.148468
Leptonychotes_weddellii 5.703782
Ommatophoca_rossii 5.529429
Hydrurga_leptonyx 5.743003
Erignathus_barbatus 5.933385
Pagophilus_groenlandicus 6.222576
Histriophoca_fasciata 5.918894
Phoca_vitulina 6.264540
Phoca_largha 6.054744
Pusa_sibirica 6.510258
Pusa_hispida 6.313548
Pusa_caspica 6.396930
Halichoerus_grypus 6.286808
Cystophora_cristata 6.040255
Odobenus_rosmarus 6.173786
Callorhinus_ursinus 6.040255
Zalophus_californianus 5.976858
Eumetopias_jubatus 5.931715
Arctocephalus_pusillus 5.763936
Neophoca_cinerea 5.483136
Arctocephalus_townsendi 5.662960
Arctocephalus_tropicalis 5.620401
Arctocephalus_gazella 5.620401
Arctocephalus_forsteri 5.192957
Arctocephalus_galapagoensis 5.575949
Arctocephalus_australis 5.735281
Spilogale_putorius 4.812184
Mephitis_mephitis 5.080783
Conepatus_chinga 4.787492
Conepatus_leuconotus 4.636669
Potos_flavus 6.002404
Procyon_lotor 5.529429
Procyon_cancrivorus 5.288267
Bassariscus_sumichrasti 5.641907
Bassariscus_astutus 5.361292
Nasua_nasua 5.515040
Nasua_narica 5.577463
Bassaricyon_gabbii 5.637643
Bassaricyon_alleni 5.711751
Taxidea_taxus 5.723585
Meles_meles 5.341377
Arctonyx_collaris 5.183468
Mellivora_capensis 5.848748
Martes_pennanti 4.988253
Gulo_gulo 5.416100
Martes_flavigula 5.192957
Martes_foina 5.383577
Martes_zibellina 5.300315
Martes_martes 5.352806
Martes_americana 5.397257
Eira_barbara 5.488111
Melogale_moschata 5.176150
Mustela_nivalis 4.741448
Mustela_eversmanii 4.693181
Mustela_putorius 5.014627
Mustela_nigripes 4.855150
Mustela_lutreola 4.704110
Mustela_sibirica 4.661551
Mustela_erminea 4.767417
Mustela_frenata 4.558236
Neovison_vison 4.918520
Vormela_peregusna 4.666265
Poecilogale_albinucha 4.133565
Ictonyx_striatus 5.099866
Ictonyx_libyca 4.094345
Galictis_vittata 5.010635
Galictis_cuja 4.651099
Pteronura_brasiliensis 5.197391
Lontra_canadensis 5.743003
Enhydra_lutris 5.834811
Lutra_lutra 5.485626
Lutrogale_perspicillata 5.192957
Aonyx_cinerea 4.795791
Aonyx_capensis 5.018603
Ailurus_fulgens 5.288267
Ursus_maritimus 6.198479
Ursus_arctos 6.291569
Melursus_ursinus 6.086320
Ursus_thibetanus 6.100767
Ursus_americanus 5.981414
Helarctos_malayanus 5.897703
Tremarctos_ornatus 6.114788
Ailuropoda_melanoleuca 5.993463
Nandinia_binotata 5.468060
Hyaena_hyaena 5.683580
Hyaena_brunnea 5.681537
Proteles_cristata 5.598422
Crocuta_crocuta 6.200915
Fossa_fossana 5.269918
Salanoia_concolor 4.053523
Galidia_elegans 5.460436
Cryptoprocta_ferox 5.555282
Crossarchus_obscurus 4.896346
Helogale_parvula 5.223055
Mungos_mungo 5.172754
Suricata_suricatta 5.291293
Ichneumia_albicauda 5.080161
Herpestes_smithii 5.364105
Bdeogale_nigripes 5.245971
Cynictis_penicillata 5.206202
Herpestes_ichneumon 5.480639
Atilax_paludinosus 5.435031
Herpestes_urva 5.073923
Herpestes_vitticollis 5.034352
Herpestes_javanicus 5.072671
Genetta_genetta 5.829534
Genetta_maculata 5.480639
Genetta_tigrina 5.383577
Poiana_richardsonii 4.158883
Genetta_cristata 6.011267
Viverricula_indica 4.836282
Viverra_tangalunga 5.087596
Viverra_civettina 5.219274
Viverra_zibetha 5.522261
Civettictis_civetta 5.817111
Cynogale_bennettii 4.094345
Hemigalus_derbyanus 5.123964
Arctogalidia_trivirgata 5.255410
Paradoxurus_jerdoni 4.969813
Paradoxurus_hermaphroditus 5.640132
Paguma_larvata 5.607272
Arctictis_binturong 5.697764
Prionodon_linsang 4.855150
Leopardus_wiedii 5.575949
Leopardus_pardalis 5.673323
Leopardus_colocolo 5.460436
Leopardus_tigrinus 5.571393
Leopardus_geoffroyi 5.620401
Prionailurus_planiceps 5.123964
Prionailurus_bengalensis 5.257495
Prionailurus_viverrinus 5.094976
Prionailurus_rubiginosus 5.369707
Felis_margarita 5.116795
Felis_silvestris 5.641907
Felis_catus 5.950643
Felis_chaus 5.257495
Felis_nigripes 5.109575
Puma_concolor 5.641907
Acinonyx_jubatus 5.468060
Catopuma_temminckii 5.505332
Lynx_rufus 5.960490
Lynx_lynx 5.758271
Lynx_canadensis 5.772375
Caracal_caracal 5.410753
Leptailurus_serval 5.607272
Neofelis_nebulosa 5.397257
Panthera_tigris 5.754476
Panthera_onca 5.723585
Panthera_pardus 5.709765
Panthera_leo 5.852202
Equus_caballus 6.570883
Equus_hemionus 6.045953
Equus_kiang 5.889432
Equus_zebra 5.838313
Equus_quagga 5.852202
Equus_grevyi 5.834811
Tapirus_indicus 5.886104
Tapirus_terrestris 6.103900
Tapirus_pinchaque 5.834811
Rhinoceros_unicornis 6.318968
Rhinoceros_sondaicus 6.173786
Dicerorhinus_sumatrensis 6.008322
Diceros_bicornis 6.436150
Ceratotherium_simum 6.345636
Vicugna_pacos 5.735281
Vicugna_vicugna 5.824229
Lama_guanicoe 6.002404
Lama_glama 5.838313
Camelus_dromedarius 6.017132
Camelus_bactrianus 6.114567
Tayassu_pecari 5.693732
Pecari_tajacu 5.820676
Catagonus_wagneri 4.682131
Sus_barbatus 5.269918
Sus_verrucosus 5.225747
Sus_scrofa 5.662960
Potamochoerus_porcus 5.529429
Phacochoerus_africanus 5.598422
Phacochoerus_aethiopicus 5.418764
Hylochoerus_meinertzhageni 5.375278
Babyrousa_babyrussa 5.639777
Hippopotamus_amphibius 6.542760
Physeter_macrocephalus 6.828712
Kogia_breviceps 5.318120
Platanista_gangetica 5.817111
Berardius_bairdii 6.835185
Mesoplodon_densirostris 5.780744
Mesoplodon_europaeus 6.356108
Hyperoodon_ampullatus 6.095825
Ziphius_cavirostris 6.376727
Inia_geoffrensis 5.907539
Pontoporia_blainvillei 5.257495
Lipotes_vexillifer 5.662960
Lagenorhynchus_acutus 5.780744
Orcinus_orca 7.038784
Orcaella_brevirostris 5.886104
Grampus_griseus 5.926926
Pseudorca_crassidens 6.228511
Peponocephala_electra 6.335054
Globicephala_melas 6.445720
Globicephala_macrorhynchus 6.628041
Steno_bredanensis 5.950643
Tursiops_truncatus 6.372637
Stenella_attenuata 6.313548
Stenella_coeruleoalba 6.469250
Delphinus_delphis 5.598422
Lagenorhynchus_obliquidens 6.054439
Cephalorhynchus_hectori 5.480639
Cephalorhynchus_commersonii 5.375278
Neophocaena_phocaenoides 5.817111
Phocoenoides_dalli 5.575949
Phocoena_phocoena 5.358471
Monodon_monoceros 6.291569
Delphinapterus_leucas 6.173786
Balaenoptera_acutorostrata 6.396930
Megaptera_novaeangliae 7.038784
Eschrichtius_robustus 6.828712
Eubalaena_glacialis 6.689599
Balaenoptera_musculus 7.185387
Balaenoptera_edeni 6.761573
Balaenoptera_borealis 6.788972
Balaenoptera_physalus 7.229839
Balaena_mysticetus 7.317212
Eubalaena_australis 6.733402
Moschiola_meminna 5.159055
Tragulus_napu 5.289176
Tragulus_javanicus 5.049856
Hyemoschus_aquaticus 5.123964
Okapia_johnstoni 5.988961
Giraffa_camelopardalis 6.119858
Antilocapra_americana 5.159055
Muntiacus_muntjak 5.386328
Muntiacus_reevesi 5.629059
Elaphodus_cephalophus 5.607272
Dama_dama 5.743003
Rucervus_eldii 5.478136
Elaphurus_davidianus 5.719656
Cervus_elaphus 5.857362
Cervus_nippon 5.737604
Rusa_unicolor 5.758649
Rusa_timorensis 5.534180
Rusa_alfredi 5.402677
Rucervus_duvaucelii 5.683580
Axis_kuhlii 5.364105
Axis_porcinus 5.550631
Axis_calamianensis 5.329816
Axis_axis 5.519860
Rangifer_tarandus 5.529429
Pudu_mephistophiles 4.787492
Odocoileus_virginianus 5.620401
Odocoileus_hemionus 5.575949
Mazama_americana 5.222516
Mazama_gouazoubira 5.080161
Hippocamelus_antisensis 4.845761
Ozotoceros_bezoarticus 5.571393
Pudu_puda 5.219274
Hydropotes_inermis 5.046002
Capreolus_capreolus 5.332719
Alces_americanus 5.703782
Alces_alces 5.780744
Tetracerus_quadricornis 5.132145
Ammodorcas_clarkei 3.583519
Boselaphus_tragocamelus 5.562219
Tragelaphus_strepsiceros 5.631212
Tragelaphus_scriptus 5.134621
Tragelaphus_eurycerus 5.515443
Tragelaphus_spekii 5.578219
Tragelaphus_buxtoni 4.882802
Tragelaphus_angasii 5.455321
Tragelaphus_imberbis 5.448030
Bos_taurus 5.480639
Bos_javanicus 5.774800
Bos_frontalis 5.750666
Bison_bonasus 5.769570
Bos_grunniens 5.674354
Bison_bison 5.988961
Bubalus_mindorensis 5.817111
Bubalus_quarlesi 5.737217
Bubalus_depressicornis 6.070922
Syncerus_caffer 5.923721
Neotragus_batesi 5.123964
Aepyceros_melampus 5.561066
Pelea_capreolus 4.996942
Redunca_fulvorufula 5.099744
Redunca_redunca 5.375278
Redunca_arundinum 5.304796
Kobus_megaceros 5.474872
Kobus_leche 5.611228
Kobus_kob 5.571850
Kobus_ellipsiprymnus 5.702181
Procapra_gutturosa 4.736198
Ourebia_ourebi 5.249022
Raphicerus_melanotis 5.123964
Raphicerus_sharpei 5.123964
Raphicerus_campestris 4.940213
Madoqua_kirkii 5.312220
Madoqua_piacentinii 5.123964
Madoqua_guentheri 5.241747
Madoqua_saltiana 5.123964
Dorcatragus_megalotis 5.123964
Saiga_tatarica 4.969813
Nanger_granti 5.366069
Nanger_soemmerringii 5.225747
Nanger_dama 5.392627
Eudorcas_rufifrons 5.123964
Eudorcas_thomsonii 5.351953
Gazella_cuvieri 5.369707
Gazella_leptoceros 5.145166
Gazella_subgutturosa 5.383577
Gazella_saudiya 5.529429
Gazella_dorcas 5.508254
Gazella_arabica 4.912361
Gazella_gazella 5.390441
Gazella_spekei 5.024144
Antilope_cervicapra 5.579352
Litocranius_walleri 5.202907
Antidorcas_marsupialis 5.475626
Neotragus_pygmaeus 5.014627
Oreotragus_oreotragus 5.569794
Philantomba_monticola 5.120386
Philantomba_maxwellii 5.211124
Cephalophus_zebra 4.983881
Sylvicapra_grimmia 5.183916
Cephalophus_spadix 4.175002
Cephalophus_silvicultor 5.476380
Cephalophus_jentinki 5.442418
Cephalophus_dorsalis 5.335035
Cephalophus_leucogaster 4.158258
Cephalophus_rufilatus 4.998563
Cephalophus_nigrifrons 5.418764
Cephalophus_natalensis 5.199601
Cephalophus_niger 5.009435
Cephalophus_weynsi 5.207845
Cephalophus_adersi 3.891004
Ovibos_moschatus 5.731398
Naemorhedus_griseus 5.337346
Naemorhedus_goral 5.352806
Naemorhedus_caudatus 5.172074
Naemorhedus_baileyi 5.409411
Capricornis_sumatraensis 5.468060
Capricornis_crispus 5.543144
Ovis_dalli 5.364105
Ovis_canadensis 5.589493
Ovis_aries 5.528715
Ovis_ammon 5.253738
Hemitragus_jemlahicus 5.616044
Capra_sibirica 5.588372
Capra_pyrenaica 5.257495
Capra_ibex 5.559912
Capra_nubiana 5.465525
Capra_cylindricornis 5.490589
Capra_caucasica 5.512622
Capra_falconeri 5.291293
Capra_hircus 5.519860
Pseudois_nayaur 5.596197
Budorcas_taxicolor 5.516971
Oreamnos_americanus 5.479889
Rupicapra_rupicapra 5.470589
Ammotragus_lervia 5.545958
Connochaetes_taurinus 5.616044
Connochaetes_gnou 5.524656
Damaliscus_pygargus 5.591062
Damaliscus_lunatus 5.762051
Beatragus_hunteri 5.204226
Alcelaphus_buselaphus 5.541264
Hippotragus_niger 5.586124
Hippotragus_equinus 5.618225
Oryx_dammah 5.661292
Oryx_leucoryx 5.500442
Oryx_gazella 5.571393
Oryx_beisa 5.480639
Addax_nasomaculatus 5.774614
Nycticebus_coucang 5.748756
Nycticebus_pygmaeus 5.445012
Loris_tardigradus 5.429346
Galago_moholi 5.291293
Galago_senegalensis 5.321057
Otolemur_garnettii 5.402677
Otolemur_crassicaudatus 5.517453
Euoticus_elegantulus 5.192957
Perodicticus_potto 5.859075
Arctocebus_calabarensis 5.049856
Daubentonia_madagascariensis 5.827768
Propithecus_diadema 5.529429
Propithecus_tattersalli 5.480639
Propithecus_verreauxi 5.735281
Varecia_variegata 6.068426
Varecia_rubra 6.109248
Lemur_catta 6.000920
Prolemur_simus 5.179534
Hapalemur_griseus 5.490589
Eulemur_macaco 6.003887
Eulemur_coronatus 5.607272
Eulemur_rubriventer 5.941223
Eulemur_mongoz 5.984440
Eulemur_fulvus 6.075346
Phaner_furcifer 5.402677
Lepilemur_leucopus 4.634729
Lepilemur_mustelinus 4.969813
Cheirogaleus_major 5.138149
Cheirogaleus_medius 5.669191
Mirza_coquereli 5.279135
Microcebus_murinus 5.309257
Microcebus_rufus 4.969813
Tarsius_syrichta 5.192957
Tarsius_bancanus 4.969813
Tarsius_tarsier 4.969813
Chiropotes_albinasus 5.402677
Chiropotes_satanas 5.418764
Cacajao_calvus 5.931715
Cacajao_melanocephalus 5.375278
Pithecia_pithecia 5.829534
Pithecia_aequatorialis 5.186268
Pithecia_monachus 5.695750
Callicebus_moloch 5.715711
Leontopithecus_chrysopygus 5.369707
Leontopithecus_chrysomelas 5.543614
Leontopithecus_rosalia 5.824229
Callithrix_kuhlii 5.480639
Callithrix_penicillata 5.219274
Mico_argentatus 5.288267
Mico_humeralifer 5.192957
Cebuella_pygmaea 5.408068
Callithrix_geoffroyi 5.352806
Callithrix_jacchus 5.470589
Callimico_goeldii 5.483136
Leontocebus_nigricollis 5.490589
Leontocebus_fuscicollis 5.699774
Saguinus_labiatus 5.505332
Saguinus_mystax 5.480639
Saguinus_imperator 5.573674
Saguinus_midas 5.386328
Saguinus_geoffroyi 5.505332
Saguinus_oedipus 5.689684
Saguinus_leucopus 5.206202
Saguinus_bicolor 5.429346
Saimiri_sciureus 5.838313
Saimiri_boliviensis 5.896054
Sapajus_apella 6.313548
Cebus_olivaceus 6.269096
Cebus_albifrons 6.227327
Cebus_capucinus 6.481271
Aotus_trivirgatus 5.806339
Aotus_vociferans 5.580484
Aotus_lemurinus 5.739150
Aotus_azarae 5.886104
Alouatta_seniculus 5.703782
Alouatta_pigra 5.480639
Alouatta_palliata 5.683580
Alouatta_caraya 5.756375
Ateles_geoffroyi 6.101215
Ateles_fusciceps 6.040255
Ateles_paniscus 6.220192
Ateles_chamek 6.241445
Ateles_marginatus 6.269096
Ateles_belzebuth 5.966147
Brachyteles_arachnoides 6.173786
Lagothrix_lagotricha 5.886104
Symphalangus_syndactylus 6.186209
Hylobates_pileatus 6.095825
Hylobates_lar 6.356108
Hylobates_muelleri 6.579251
Hylobates_moloch 6.291569
Hylobates_klossii 6.095825
Hylobates_agilis 6.324359
Nomascus_leucogenys 6.271366
Nomascus_concolor 6.293789
Hoolock_hoolock 6.198479
Pongo_pygmaeus 6.570883
Pan_troglodytes 6.643790
Pan_paniscus 6.426488
Homo_sapiens 7.293018
Gorilla_gorilla 6.528835
Trachypithecus_vetulus 5.620401
Semnopithecus_entellus 5.780744
Trachypithecus_pileatus 5.711751
