phylum,class,order,family,genus,species,specificEpithet,sex,sampleSizeValue,body mass,body mass_minimum,body mass_maximum,metabolic rate,metabolic rate_minimum,metabolic rate_maximum,original respiratoryQuotient,original temperature,mass-specific metabolic rate,brain size
Chordata,Aves,Anseriformes,Anatidae,Cygnus,Cygnus atratus,atratus,,1,6.1,,,,,,,,,0.0125874
Chordata,Aves,Anseriformes,Anatidae,Tadorna,Tadorna radjah,radjah,,1,0.885,,,,,,,,,0.00536648
Chordata,Aves,Anseriformes,Anatidae,Tadorna,Tadorna tadornoides,tadornoides,,1,1.45,,,,,,,,,0.00603988
Chordata,Aves,Anseriformes,Anatidae,Chenonetta,Chenonetta jubata,jubata,,1,0.8,,,,,,,,,0.00422688
Chordata,Aves,Anseriformes,Anatidae,Malacorhynchus,Malacorhynchus membranaceus,membranaceus,,1,0.375,,,,,,,,,0.0029526
Chordata,Aves,Anseriformes,Anatidae,Nettapus,Nettapus pulchellus,pulchellus,,1,0.28,,,,,,,,,0.00277648
Chordata,Aves,Anseriformes,Anatidae,Anas,Anas rhynchotis,rhynchotis,,1,0.65,,,,,,,,,0.00366744
Chordata,Aves,Anseriformes,Anatidae,Anas,Anas gracilis,gracilis,,1,0.4965,,,,,,,,,0.00364672
Chordata,Aves,Anseriformes,Anatidae,Anas,Anas castanea,castanea,,1,0.65,,,,,,,,,0.00386428
Chordata,Aves,Anseriformes,Anatidae,Anas,Anas superciliosa,superciliosa,,1,1,,,,,,,,,0.00552188
Chordata,Aves,Anseriformes,Anatidae,Aythya,Aythya australis,australis,,1,0.85,,,,,,,,,0.00506604
Chordata,Aves,Anseriformes,Anatidae,Oxyura,Oxyura australis,australis,,1,0.85,,,,,,,,,0.00416472
Chordata,Aves,Phaethontiformes,Phaethontidae,Phaethon,Phaethon rubricauda,rubricauda,,1,0.8,,,,,,,,,0.00468272
Chordata,Aves,Podicipediformes,Podicipedidae,Tachybaptus,Tachybaptus novaehollandiae,novaehollandiae,,1,0.165,,,,,,,,,0.00171976
Chordata,Aves,Podicipediformes,Podicipedidae,Poliocephalus,Poliocephalus poliocephalus,poliocephalus,,1,0.24,,,,,,,,,0.00178192
Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,Podiceps cristatus,cristatus,,1,1.1,,,,,,,,,0.00322196
Chordata,Aves,Columbiformes,Columbidae,Columba,Columba leucomela,leucomela,,1,0.42,,,,,,,,,0.00237244
Chordata,Aves,Columbiformes,Columbidae,Macropygia,Macropygia amboinensis,amboinensis,,1,0.2,,,,,,,,,0.00154364
Chordata,Aves,Columbiformes,Columbidae,Chalcophaps,Chalcophaps indica,indica,,1,0.135,,,,,,,,,0.001295
Chordata,Aves,Columbiformes,Columbidae,Phaps,Phaps chalcoptera,chalcoptera,,1,0.335,,,,,,,,,0.00184408
Chordata,Aves,Columbiformes,Columbidae,Phaps,Phaps elegans,elegans,,1,0.205,,,,,,,,,0.0017094
Chordata,Aves,Columbiformes,Columbidae,Phaps,Phaps histrionica,histrionica,,1,0.3,,,,,,,,,0.0017094
Chordata,Aves,Columbiformes,Columbidae,Ocyphaps,Ocyphaps lophotes,lophotes,,1,0.19,,,,,,,,,0.0017612
Chordata,Aves,Columbiformes,Columbidae,Geophaps,Geophaps plumifera,plumifera,,1,0.095,,,,,,,,,0.00122248
Chordata,Aves,Columbiformes,Columbidae,Geophaps,Geophaps smithii,smithii,,1,0.205,,,,,,,,,0.00144004
Chordata,Aves,Columbiformes,Columbidae,Petrophassa,Petrophassa albipennis,albipennis,,1,0.125,,,,,,,,,0.0011396
Chordata,Aves,Columbiformes,Columbidae,Geopelia,Geopelia cuneata,cuneata,,1,0.033,,,,,,,,,0.00080808
Chordata,Aves,Columbiformes,Columbidae,Geopelia,Geopelia striata,striata,,1,0.0485,,,,,,,,,0.00081844
Chordata,Aves,Columbiformes,Columbidae,Geopelia,Geopelia humeralis,humeralis,,1,0.13,,,,,,,,,0.00130536
Chordata,Aves,Columbiformes,Columbidae,Leucosarcia,Leucosarcia melanoleuca,melanoleuca,,1,0.415,,,,,,,,,0.00249676
Chordata,Aves,Columbiformes,Columbidae,Ptilinopus,Ptilinopus magnificus,magnificus,,1,0.335,,,,,,,,,0.00224812
Chordata,Aves,Columbiformes,Columbidae,Ptilinopus,Ptilinopus superbus,superbus,,1,0.107,,,,,,,,,0.00112924
Chordata,Aves,Columbiformes,Columbidae,Ptilinopus,Ptilinopus regina,regina,,1,0.095,,,,,,,,,0.00125356
Chordata,Aves,Columbiformes,Columbidae,Lopholaimus,Lopholaimus antarcticus,antarcticus,,1,0.575,,,,,,,,,0.00280756
Chordata,Aves,Caprimulgiformes,Podargidae,Podargus,Podargus strigoides,strigoides,,1,0.285,,,,,,,,,0.00503496
Chordata,Aves,Caprimulgiformes,Caprimulgidae,Eurostopodus,Eurostopodus mystacalis,mystacalis,,1,0.13,,,,,,,,,0.00137788
