species,class,order,family,panth_bodymass_g,aa_bodymass_g,kup_AdultMass,AT_bodymass_g,mean_long,diel,logage
Oxybelis_aeneus,Reptilia,Squamata,Colubridae,NA,NA,1359,NA,182.4,DIU,5.206202077640231
Oxyuranus_scutellatus,Reptilia,Squamata,Elapidae,NA,NA,8110.5,NA,187.2,ARR,5.232177564043492
Pachycephala_rufiventris,Aves,Passeriformes,Pachycephalidae,NA,NA,NA,22.6,182.4,DIU,5.206202077640231
Pachymedusa_dacnicolor,Amphibia,Anura,Hylidae,NA,NA,NA,NA,104.4,NOC,4.648229675448539
Palea_steindachneri,Reptilia,Testudines,Trionychidae,NA,NA,NA,NA,492,DIU,6.198478716492308
Paleosuchus_palpebrosus,Reptilia,Crocodilia,Alligatoridae,NA,NA,5900,NA,289.2,NOC,5.66711849028461
Paleosuchus_trigonatus,Reptilia,Crocodilia,Alligatoridae,NA,NA,7500,NA,480,NOC,6.173786103901937
Pandion_haliaetus,Aves,Accipitriformes,Pandionidae,NA,NA,1362,NA,384,DIU,5.950642552587727
Pardalotus_punctatus,Aves,Passeriformes,Pardalotidae,NA,NA,NA,8.4,48,DIU,3.871201010907891
Pardalotus_striatus,Aves,Passeriformes,Pardalotidae,NA,NA,NA,10.6,72,DIU,4.276666119016055
Parus_major,Aves,Passeriformes,Paridae,NA,NA,17.9,NA,184.8,DIU,5.2192741592075835
Passer_domesticus,Aves,Passeriformes,Passeridae,NA,NA,25.3,23.27666667,276,DIU,5.62040086571715
Passer_montanus,Aves,Passeriformes,Passeridae,NA,17.5,20.5,17.5,157.2,DIU,5.057518879995106
Passerculus_sandwichensis,Aves,Passeriformes,Passerellidae,NA,15.9,20.2,NA,216,DIU,5.375278407684165
Passerella_iliaca,Aves,Passeriformes,Passerellidae,NA,NA,35.5,31.7,123.6,DIU,4.817050545023591
Passerina_caerulea,Aves,Passeriformes,Cardinalidae,NA,NA,28.4,NA,122.4,DIU,4.807294370078226
Passerina_ciris,Aves,Passeriformes,Cardinalidae,NA,NA,14.75,NA,144,DIU,4.969813299576001
Passerina_cyanea,Aves,Passeriformes,Cardinalidae,NA,NA,15,NA,132,DIU,4.882801922586371
Pecari_tajacu,Mammalia,Artiodactyla,Tayassuidae,21133.69,20500,20200,NA,337.2,ARR,5.8206762261277
Pedetes_capensis,Mammalia,Rodentia,Pedetidae,2549.25,2300,3500,NA,207,NOC,5.332718793265369
Pelagodroma_marina,Aves,Procellariiformes,Hydrobatidae,NA,NA,NA,55,237.6,NOC,5.47058858748849
Pelecanus_occidentalis,Aves,Pelecaniformes,Pelecanidae,NA,NA,3115.8,NA,516,DIU,6.246106765481563
Pelomedusa_subrufa,Reptilia,Testudines,Pelomedusidae,NA,NA,2273,NA,241.2,DIU,5.485626464853031
Perdix_perdix,Aves,Galliformes,Phasianidae,NA,501,492,NA,62.4,DIU,4.133565275375382
Pernis_apivorus,Aves,Accipitriformes,Accipitridae,NA,652,758,NA,348,NOC,5.8522024797744745
Perognathus_amplus,Mammalia,Rodentia,Heteromyidae,11.97,NA,11.7,NA,70.8,NOC,4.259859000699674
Petaurus_breviceps,Mammalia,Diprotodontia,Petauridae,120.76,129.3,110,89.1,190.8,NOC,5.251225759014186
Petrochelidon_fulva,Aves,Passeriformes,Hirundinidae,NA,NA,20.15,NA,146.4,DIU,4.986342601527212
Petrochelidon_pyrrhonota,Aves,Passeriformes,Hirundinidae,NA,NA,23.24,NA,141.6,DIU,4.953006181259619
Petronia_petronia,Aves,Passeriformes,Passeridae,NA,NA,30.2,NA,84,DIU,4.430816798843313
Phaeognathus_hubrichti,Amphibia,Caudata,Plethodontidae,NA,NA,NA,NA,236.4,NOC,5.465525285531943
Phaethon_rubricauda,Aves,Phaethontiformes,Phaethontidae,NA,NA,593.2,696.6,392.4,DIU,5.972281727691208
