species,panth_bodymass_g,mean_long,Diet,logage,logmass,diet.new
Pseudomys_laborifex,12,82.8,?,4.416428061391214,2.4849066497880004,NA
Pseudomys_shortridgei,72.06,72,?,4.276666119016055,4.277499105319947,NA
Pseudorca_crassidens,1360000,507,Carnivore,6.2285110035911835,14.122995257712235,Carnivore
Pteromys_volans,143.09,91.2,Herbivore,4.513054897080286,4.963473802918644,Herbivore
Pteronura_brasiliensis,26000,180.8,Carnivore,5.1973914479580765,10.165851817003619,Carnivore
Pteropus_alecto,610.13,243.6,Herbivore,5.495527535835742,6.413672049215732,Herbivore
Pteropus_dasymallus,491.86,330,Omnivore,5.799092654460526,6.198194123153937,Omnivore
Pteropus_giganteus,824.85,452.4,?,6.114566744241966,6.715201551621933,NA
Pteropus_hypomelanus,435.61,243.6,Herbivore,5.495527535835742,6.07674734763644,Herbivore
Pteropus_livingstonii,734.27,180,?,5.19295685089021,6.598876808386687,NA
Pteropus_lylei,319.75,244.8,?,5.500441550638171,5.767539440458952,NA
Pteropus_niger,474.43,232.8,?,5.450179715857283,6.162114083458122,NA
Pteropus_poliocephalus,702.78,283.2,?,5.6461533618195645,6.5550438983098385,NA
Pteropus_pselaphon,NA,200.4,?,5.3003153692107094,NA,NA
Pteropus_pumilus,184.05,206.4,?,5.329816033607408,5.21520745982503,NA
Pteropus_rodricensis,256.17,348,?,5.8522024797744745,5.545841286587624,NA
Pteropus_scapulatus,380.35,189.6,Herbivore,5.244916589820922,5.9410918814433105,Herbivore
Pteropus_vampyrus,1027.54,250.8,Herbivore,5.524655808758766,6.934922875053048,Herbivore
Pudu_puda,9642.62,184.8,Herbivore,5.2192741592075835,9.173948134910313,Herbivore
Puma_concolor,53954.05,282,?,5.641907070938114,10.89588803737751,NA
Puma_yagouaroundi,6875,175.515,Carnivore,5.167724509339031,8.835646922534773,Carnivore
Pusa_hispida,70963.6,552,Carnivore,6.313548046277095,11.16992234850381,Carnivore
Pusa_sibirica,89499.99,672,Carnivore,6.5102583405231496,11.401993792531098,Carnivore
Pygathrix_nemaeus,9411.1,306,?,5.723585101952381,9.149645122665685,NA
Rangifer_tarandus,109088.5,252,Herbivore,5.529429087511423,11.599914758382685,Herbivore
Raphicerus_campestris,11661.53,139.8,Herbivore,4.94021282979971,9.36405066913494,Herbivore
Rattus_fuscipes,124.58,52.3,Omnivore,3.9569963710708773,4.824948079825999,Omnivore
Rattus_lutreolus,106,40.9,Omnivore,3.711130063048756,4.663439094112067,Omnivore
Rattus_norvegicus,282.89,45.6,?,3.8199077165203406,5.645058129503191,NA
Rattus_rattus,142.68,50.4,Herbivore,3.919991175077323,4.960604360490691,Herbivore
Ratufa_bicolor,1609.08,174.5,Herbivore,5.161924741642482,7.383417866079551,Herbivore
Ratufa_indica,1060,240,?,5.480638923341991,6.966024187106113,NA
Redunca_arundinum,58059.24,201.3,Herbivore,5.304796332645746,10.969219147585955,Herbivore
Redunca_fulvorufula,29352.66,163.98,Herbivore,5.099744469168032,10.287138451473243,Herbivore
Reithrodon_auritus,79.73,66,Herbivore,4.189654742026425,4.378645926514404,Herbivore
Rhabdomys_pumilio,40.73,44.4,Omnivore,3.7932394694381792,3.706964921660321,Omnivore
Rhinoceros_unicornis,1843655.8,555,Herbivore,6.318968113746434,14.427261006239627,Herbivore
Rhinolophus_ferrumequinum,22.59,363,Carnivore,5.8944028342648505,3.1175073304799117,Carnivore
Rhinolophus_hipposideros,4.57,302.4,Carnivore,5.711750644305378,1.5195132049061133,Carnivore
Rhinopithecus_roxellana,13456.8,354,Herbivore,5.869296913133774,9.507239833477572,Herbivore
Rhombomys_opimus,NA,51,?,3.9318256327243257,NA,NA
Rhynchocyon_chrysopygus,535.2,90,Carnivore,4.499809670330265,6.282640508814019,Carnivore
Rousettus_aegyptiacus,134,274.8,Herbivore,5.616043560348194,4.897839799950911,Herbivore
Rousettus_lanosus,104.78,224.4,?,5.413430173648541,4.651862913980073,NA
Rousettus_leschenaultii,84.88,168,?,5.123963979403259,4.441238494305727,NA
Rucervus_duvaucelii,171223.86,294,Herbivore,5.683579767338681,12.050727102137678,Herbivore
Rucervus_eldii,95471.61,239.4,Herbivore,5.478135793123873,11.4665842047862,Herbivore
Rupicapra_rupicapra,33266.35,237.6,Herbivore,5.47058858748849,10.412301654548063,Herbivore
Rusa_alfredi,46475.04,222,?,5.402677381872279,10.746670673267058,NA
Rusa_timorensis,66375.5,253.2,Herbivore,5.534179690270021,11.103083291472553,Herbivore
Rusa_unicolor,177522.9,316.92,Herbivore,5.758649376097042,12.086854893660513,Herbivore
Saccopteryx_bilineata,8.08,72,Carnivore,4.276666119016055,2.089391872533004,Carnivore
Saccostomus_campestris,50.33,43.8,Herbivore,3.7796338173824005,3.9186013207882686,Herbivore
Saguinus_bicolor,465,228,?,5.429345628954441,6.142037405587356,NA
Saguinus_geoffroyi,492.5,246,Omnivore,5.5053315359323625,6.199494460612144,Omnivore
Saguinus_imperator,407.91,263.4,Omnivore,5.573673789309181,6.0110465618357045,Omnivore
Saguinus_labiatus,508.46,246,Herbivore,5.5053315359323625,6.23138654966101,Herbivore
Saguinus_leucopus,456.68,182.4,?,5.206202077640231,6.123982926808126,NA
Saguinus_midas,540.56,218.4,Omnivore,5.38632824387075,6.292605639243919,Omnivore
Saguinus_mystax,555.87,240,Omnivore,5.480638923341991,6.320534453962433,Omnivore
Saguinus_oedipus,462.04,295.8,Omnivore,5.689683550276699,6.135651467420479,Omnivore
Saimiri_boliviensis,799.45,363.6,?,5.896054362303324,6.683923991231429,NA
Saimiri_sciureus,749.47,343.2,Omnivore,5.838313367613807,6.619366290057107,Omnivore
Sarcophilus_harrisii,8202.25,127.2,Carnivore,4.845760650906022,9.012163785858128,Carnivore
Scalopus_aquaticus,87.15,74.4,Carnivore,4.309455941839047,4.46763077196603,Carnivore
Sciurus_aureogaster,455.57,138,Herbivore,4.927253685157205,6.121549382170587,Herbivore
Sciurus_carolinensis,545.4,285.6,?,5.654592230465429,6.301519470411488,NA
Sciurus_granatensis,318.44,138,Herbivore,4.927253685157205,5.763434074220378,Herbivore
Sciurus_niger,NA,192,Herbivore,5.2574953720277815,NA,Herbivore
Sciurus_variegatoides,485,181.2,Herbivore,5.199601393608879,6.184148890937483,Herbivore
Sciurus_vulgaris,333,160.8,Omnivore,5.080161356744866,5.808142489980444,Omnivore
Scotorepens_balstoni,11.92,116.4,?,4.757032535297338,2.4782176616372036,NA
Scotorepens_orion,11.83,133.2,?,4.891851758106289,2.4706386779902956,NA
Sekeetamys_calurus,56.61,76.2,Omnivore,4.333361462692601,4.036185648048568,Omnivore
Semnopithecus_entellus,12679.29,324,Herbivore,5.780743515792329,9.44772523273266,Herbivore
Setifer_setosus,263.22,147.6,Carnivore,4.994505912166372,5.572990184406177,Carnivore
Setonix_brachyurus,3027.67,154.8,Herbivore,5.042133961155627,8.01554862579133,Herbivore
Sigmodon_hispidus,110.65,62.4,Omnivore,4.133565275375382,4.7063720664970585,Omnivore
Sminthopsis_crassicaudata,15.98,55.8,Carnivore,4.021773869387265,2.7713379403381286,Carnivore
